# Commit-hash map for the 2026-08-01 history rewrite (co-author trailers removed).
# Trees are byte-identical on both sides; only commit messages changed, so every
# SHA below moved. Use this to resolve a pre-rewrite commit recorded in a result CSV.
old_sha	new_sha
9eb59b24e2f261a4a30b99e6a5aaf35df28df707	5cea5c67c7814cc6115da103d32626fd82b86878
d9e1b6cc1a4afff7a81c3e65b90bde9356ff9aa3	c94da95802b985bcf1dc945739765ea48c53ba25
067a428a580ab6ed209280366037285d3d60c28a	d45f19115757aef47be9eaf7f48609674d0f25e9
3d10b141390cee856869eaf7132bf9e3bf5efdea	cd7e414a3ea8bf76f992e2f17a21c118e1bc256e
37ddfa045d322e9fbe9cde825a86c6d03f02aff0	1a50623827d8d6a4a7ccf37508f40898a965f86d
92aea36e1955e96dd694e025c6e996e73200006e	b3f3514e6eed80e7e38de89cfb67d09adfda2f31
1936e0b7a0697f45446a569f85b080c6899fecd5	1c377eb139c18dc20f5c21a143bc64db6d50c2fa
4b167341d19b6cbc81c92b1766e1dface891aa9b	3e1bd50934a158bf28397d119da72df25b33b066
3c11adf4c5538c2011f57f74c64446d508f52d17	36c3b6a07f6d72fb932f13e3f8c19cdbbd266e95
28fe6fc2a4c3b0881926a86c96d06661b2f51f39	992506b2ebd090faa8c1b2bc5677e630c1d36d98
fe1439c89c2333ef9705aac420dc8179ebf66cc9	a8e7bcf9cf8706c59981dfe367f00d7cd1b938df
92a681af0209bd74fabc9b50c65e964adb04fdca	63a68e83e10f9292dc9e921c63229edbe56c0046
76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3	c9fc6868c006e051be5c8719d5709cb68febc999
b35a5fd6be2683f80b6d45da14198d73d3e101f4	30dda024e29d3ef4f289488d40edcd990d41749d
03366f05d946f09343e4586261ce47f0c0989fb9	f27fb06d5a0152365ba55d83be2aa045c2cdafdf
9df10283cc4082d945c0e846ec6f609c38d95fcf	2d14a0a157dafb270937b99f9834af4e9ae01263
ff9c377128ebc94f5c6894b595ca427d79d4673e	281bddc57f27e8743ae0049036aba747cdbdfb72
9fc367ed41ad78c4e117115dadc879571493aa4f	a6e5cf3f02ebbf4906c8cd378c5f65b6340ce252
3bcd0caf19a42f9fd79a39365763b2d6f7c6922a	366c2a10bdcc95aa907473d2dbc77a9f3ae1fc06
443f2d8f0ef649501506edd6a1e697ce842c35c1	d79544830d45dd570c31a743ba019bfee7339e7d
0b4d7debae8771172e5c2bdec6f7efbfd6cac374	5f6617cffb76a53e1fd8a796d5c5cb08647fb705
8edb36d286dd106fed7301e4927b9476cd920fc3	10cb8b1f1c2647c6b140228afb60e3600da0d6a1
a0fed4539fc13af0fc736cfb2fb07027965c5f6b	e4349e98dd3776346cdf7d24a6edbbc6cac18518
ef59f082432017c76de544f794d755d17c6ce158	64aa711b316f91450faa7ebd416af2e3fb118686
3c912d7575f7010b9152a0872719dfaaa39c21c0	69388af9a3ecb1c890c43da65d5e1b6693b445ca
43fd19740a0b7a60cc20176212654ba29911d167	ccc95a4f0791a8d30d03d6a9d710ca207b1c2fa7
64b24a4190f2ec5606ee4a966ab6276504a8a757	b48ba7757b88278f36ba0886dc3d4e953c2aabae
494c782b249ac8d32e7795f54c506100d8dac121	dc87aead397e531737338577188c729bcc08c1ac
e2c506fc8704b412e028155f53a41eacb9de422c	f8829d994ebda8802168e7307a304bd1f1dc1a21
4e6f7cbd130e921868a4fdc70d707415294633fb	b81c9f07f0e1e504a5d6e8ee8115c56e2bc2c8bc
704aca1cec91ef7df14b4f3f789a68d25507b7ed	bd4c6501300e7a07f094025d8afc3e8b61832d90
45b8280240c3de6f70579b3232c73e48684b342b	c3403b7214942593d35fb9aeae1403854a435768
06e016ab8756324b13ffc3473a6f2583eb21971c	ae47c2ea3a6e84a722cc464602914a9ce7afb8cd
84181b59a7d6d765549cc28edb812a7ac365426b	3fde9224085a5765225c16a7e4d338a325fea30b
